NatwestG
ABCDEFG
20041004
20041004
20041004
GBP
14
AUD	0000025768506
CAD	0000023571355
CHF	0000023291278
DKK	0000111911656
EUR	0000015109972
GBP	0000010000000
HKD	0000145594757
JPY	0002059879505
NOK	0000125417012
PLN	0000065678265
SEK	0000136129058
SGD	0000031468618
USD	0000018759622
ZAR	0000120373742
