date,year,eyci,adjeyci
26/03/1997,1997.321233,166.25,209.94
01/04/1997,1997.336073,166.00,209.62
02/04/1997,1997.338813,166.50,210.25
03/04/1997,1997.341553,165.75,209.30
04/04/1997,1997.344292,165.75,209.30
07/04/1997,1997.352511,164.50,207.73
08/04/1997,1997.355251,162.25,204.89
09/04/1997,1997.357991,160.25,202.36
10/04/1997,1997.360731,158.75,200.47
11/04/1997,1997.36347,157.50,198.89
14/04/1997,1997.371689,156.25,197.31
15/04/1997,1997.374429,153.75,194.15
16/04/1997,1997.377169,152.75,192.89
17/04/1997,1997.379909,151.50,191.31
18/04/1997,1997.382648,151.75,191.63
21/04/1997,1997.390868,151.25,190.99
22/04/1997,1997.393607,152.00,191.94
23/04/1997,1997.396347,153.75,194.15
24/04/1997,1997.399087,155.00,195.73
28/04/1997,1997.410046,157.25,198.57
29/04/1997,1997.412785,158.75,200.47
30/04/1997,1997.415525,158.50,200.15
01/05/1997,1997.419406,159.00,200.78
02/05/1997,1997.422146,159.75,201.73
05/05/1997,1997.430365,160.25,202.36
06/05/1997,1997.433105,160.25,202.36
07/05/1997,1997.435845,160.25,202.36
08/05/1997,1997.438584,160.25,202.36
09/05/1997,1997.441324,160.25,202.36
12/05/1997,1997.449543,160.25,202.36
13/05/1997,1997.452283,159.75,201.73
14/05/1997,1997.455023,160.50,202.68
15/05/1997,1997.457763,160.50,202.68
16/05/1997,1997.460502,160.25,202.36
19/05/1997,1997.468721,160.50,202.68
20/05/1997,1997.471461,161.50,203.94
21/05/1997,1997.474201,160.75,202.99
22/05/1997,1997.476941,160.50,202.68
23/05/1997,1997.47968,160.50,202.68
26/05/1997,1997.4879,160.25,202.36
27/05/1997,1997.490639,160.50,202.68
28/05/1997,1997.493379,160.50,202.68
29/05/1997,1997.496119,161.50,203.94
30/05/1997,1997.498858,161.50,203.94
02/06/1997,1997.505479,163.25,206.15
03/06/1997,1997.508219,164.00,207.10
04/06/1997,1997.510959,164.75,208.04
05/06/1997,1997.513699,165.00,208.36
06/06/1997,1997.516438,165.25,208.67
10/06/1997,1997.527397,163.75,206.78
11/06/1997,1997.530137,164.00,207.10
12/06/1997,1997.532877,165.00,208.36
13/06/1997,1997.535616,166.50,210.25
16/06/1997,1997.543836,167.50,211.51
17/06/1997,1997.546575,168.75,213.09
18/06/1997,1997.549315,169.75,214.36
19/06/1997,1997.552055,170.25,214.99
20/06/1997,1997.554795,170.00,214.67
23/06/1997,1997.563014,172.50,217.83
24/06/1997,1997.565753,174.25,220.04
25/06/1997,1997.568493,174.00,219.72
26/06/1997,1997.571233,174.00,219.72
27/06/1997,1997.573973,173.75,219.41
30/06/1997,1997.582192,173.25,218.78
01/07/1997,1997.586073,174.00,219.72
02/07/1997,1997.588813,174.75,220.67
03/07/1997,1997.591553,174.75,220.67
04/07/1997,1997.594292,175.00,220.99
07/07/1997,1997.602511,175.00,220.99
08/07/1997,1997.605251,174.25,220.04
09/07/1997,1997.607991,173.75,219.41
10/07/1997,1997.610731,173.50,219.09
11/07/1997,1997.61347,173.50,219.09
14/07/1997,1997.621689,173.75,219.41
15/07/1997,1997.624429,172.25,217.51
16/07/1997,1997.627169,172.25,217.51
17/07/1997,1997.629909,171.00,215.93
18/07/1997,1997.632648,169.50,214.04
21/07/1997,1997.640868,168.50,212.78
22/07/1997,1997.643607,169.00,213.41
23/07/1997,1997.646347,168.50,212.78
24/07/1997,1997.649087,169.00,213.41
25/07/1997,1997.651826,169.25,213.72
28/07/1997,1997.660046,169.75,214.36
29/07/1997,1997.662785,169.50,214.04
30/07/1997,1997.665525,170.00,214.67
31/07/1997,1997.668265,170.00,214.67
01/08/1997,1997.669406,170.75,215.62
04/08/1997,1997.677626,172.50,217.83
05/08/1997,1997.680365,174.50,220.35
